id,user_id,order_date,status,_etl_loaded_at
1,1,2018-01-01,returned,2023-06-19 15:58:20.960919
2,3,2018-01-02,completed,2023-06-19 15:58:20.960919
3,94,2018-01-04,completed,2023-06-19 15:58:20.960919
4,50,2018-01-05,completed,2023-06-19 15:58:20.960919
5,64,2018-01-05,completed,2023-06-19 15:58:20.960919
6,54,2018-01-07,completed,2023-06-19 15:58:20.960919
7,88,2018-01-09,completed,2023-06-19 15:58:20.960919
8,2,2018-01-11,returned,2023-06-19 15:58:20.960919
9,53,2018-01-12,completed,2023-06-19 15:58:20.960919
10,7,2018-01-14,completed,2023-06-19 15:58:20.960919
11,99,2018-01-14,completed,2023-06-19 15:58:20.960919
12,59,2018-01-15,completed,2023-06-19 15:58:20.960919
13,84,2018-01-17,completed,2023-06-19 15:58:20.960919
14,40,2018-01-17,returned,2023-06-19 15:58:20.960919
15,25,2018-01-17,completed,2023-06-19 15:58:20.960919
16,39,2018-01-18,completed,2023-06-19 15:58:20.960919
17,71,2018-01-18,completed,2023-06-19 15:58:20.960919
18,64,2018-01-20,returned,2023-06-19 15:58:20.960919
19,54,2018-01-22,completed,2023-06-19 15:58:20.960919
20,20,2018-01-23,completed,2023-06-19 15:58:20.960919
21,71,2018-01-23,completed,2023-06-19 15:58:20.960919
22,86,2018-01-24,completed,2023-06-19 15:58:20.960919
23,22,2018-01-26,return_pending,2023-06-19 15:58:20.960919
24,3,2018-01-27,completed,2023-06-19 15:58:20.960919
25,51,2018-01-28,completed,2023-06-19 15:58:20.960919
26,32,2018-01-28,completed,2023-06-19 15:58:20.960919
27,94,2018-01-29,completed,2023-06-19 15:58:20.960919
28,8,2018-01-29,completed,2023-06-19 15:58:20.960919
29,57,2018-01-31,completed,2023-06-19 15:58:20.960919
30,69,2018-02-02,completed,2023-06-19 15:58:20.960919
31,16,2018-02-02,completed,2023-06-19 15:58:20.960919
32,28,2018-02-04,completed,2023-06-19 15:58:20.960919
33,42,2018-02-04,completed,2023-06-19 15:58:20.960919
34,38,2018-02-06,completed,2023-06-19 15:58:20.960919
35,80,2018-02-08,completed,2023-06-19 15:58:20.960919
36,85,2018-02-10,completed,2023-06-19 15:58:20.960919
37,1,2018-02-10,completed,2023-06-19 15:58:20.960919
38,51,2018-02-10,completed,2023-06-19 15:58:20.960919
39,26,2018-02-11,completed,2023-06-19 15:58:20.960919
40,33,2018-02-13,completed,2023-06-19 15:58:20.960919
41,99,2018-02-14,completed,2023-06-19 15:58:20.960919
42,92,2018-02-16,completed,2023-06-19 15:58:20.960919
43,31,2018-02-17,completed,2023-06-19 15:58:20.960919
44,66,2018-02-17,completed,2023-06-19 15:58:20.960919
45,22,2018-02-17,completed,2023-06-19 15:58:20.960919
46,6,2018-02-19,completed,2023-06-19 15:58:20.960919
47,50,2018-02-20,completed,2023-06-19 15:58:20.960919
48,27,2018-02-21,completed,2023-06-19 15:58:20.960919
49,35,2018-02-21,completed,2023-06-19 15:58:20.960919
50,51,2018-02-23,completed,2023-06-19 15:58:20.960919
51,71,2018-02-24,completed,2023-06-19 15:58:20.960919
52,54,2018-02-25,return_pending,2023-06-19 15:58:20.960919
53,34,2018-02-26,completed,2023-06-19 15:58:20.960919
54,54,2018-02-26,completed,2023-06-19 15:58:20.960919
55,18,2018-02-27,completed,2023-06-19 15:58:20.960919
56,79,2018-02-28,completed,2023-06-19 15:58:20.960919
57,93,2018-03-01,completed,2023-06-19 15:58:20.960919
58,22,2018-03-01,completed,2023-06-19 15:58:20.960919
59,30,2018-03-02,completed,2023-06-19 15:58:20.960919
60,12,2018-03-03,completed,2023-06-19 15:58:20.960919
61,63,2018-03-03,completed,2023-06-19 15:58:20.960919
62,57,2018-03-05,completed,2023-06-19 15:58:20.960919
63,70,2018-03-06,completed,2023-06-19 15:58:20.960919
64,13,2018-03-07,completed,2023-06-19 15:58:20.960919
65,26,2018-03-08,completed,2023-06-19 15:58:20.960919
66,36,2018-03-10,completed,2023-06-19 15:58:20.960919
67,79,2018-03-11,completed,2023-06-19 15:58:20.960919
68,53,2018-03-11,completed,2023-06-19 15:58:20.960919
69,3,2018-03-11,completed,2023-06-19 15:58:20.960919
70,8,2018-03-12,completed,2023-06-19 15:58:20.960919
71,42,2018-03-12,shipped,2023-06-19 15:58:20.960919
72,30,2018-03-14,shipped,2023-06-19 15:58:20.960919
73,19,2018-03-16,completed,2023-06-19 15:58:20.960919
74,9,2018-03-17,shipped,2023-06-19 15:58:20.960919
75,69,2018-03-18,completed,2023-06-19 15:58:20.960919
76,25,2018-03-20,completed,2023-06-19 15:58:20.960919
77,35,2018-03-21,shipped,2023-06-19 15:58:20.960919
78,90,2018-03-23,shipped,2023-06-19 15:58:20.960919
79,52,2018-03-23,shipped,2023-06-19 15:58:20.960919
80,11,2018-03-23,shipped,2023-06-19 15:58:20.960919
81,76,2018-03-23,shipped,2023-06-19 15:58:20.960919
82,46,2018-03-24,shipped,2023-06-19 15:58:20.960919
83,54,2018-03-24,shipped,2023-06-19 15:58:20.960919
84,70,2018-03-26,placed,2023-06-19 15:58:20.960919
85,47,2018-03-26,shipped,2023-06-19 15:58:20.960919
86,68,2018-03-26,placed,2023-06-19 15:58:20.960919
87,46,2018-03-27,placed,2023-06-19 15:58:20.960919
88,91,2018-03-27,shipped,2023-06-19 15:58:20.960919
89,21,2018-03-28,placed,2023-06-19 15:58:20.960919
90,66,2018-03-30,shipped,2023-06-19 15:58:20.960919
91,47,2018-03-31,placed,2023-06-19 15:58:20.960919
92,84,2018-04-02,placed,2023-06-19 15:58:20.960919
93,66,2018-04-03,placed,2023-06-19 15:58:20.960919
94,63,2018-04-03,placed,2023-06-19 15:58:20.960919
95,27,2018-04-04,placed,2023-06-19 15:58:20.960919
96,90,2018-04-06,placed,2023-06-19 15:58:20.960919
97,89,2018-04-07,placed,2023-06-19 15:58:20.960919
98,41,2018-04-07,placed,2023-06-19 15:58:20.960919
99,85,2018-04-09,placed,2023-06-19 15:58:20.960919
